book,w,season,bets,staked,profit,yield_pct,flat_roi_pct
b365,0.95,2021-22,269,4984.7,-958.67,-19.23,-26.72
b365,0.95,2022-23,270,4427.19,-406.14,-9.17,-9.22
b365,0.95,2023-24,248,4170.35,-635.15,-15.23,-20.57
b365,0.95,2024-25,222,3740.53,-82.89,-2.22,4.87
b365,0.95,2025-26,215,3668.83,-177.53,-4.84,-4.14
b365,1.0,2021-22,276,5188.79,-985.34,-18.99,-26.95
b365,1.0,2022-23,276,4712.85,-430.48,-9.13,-10.08
b365,1.0,2023-24,253,4404.05,-575.0,-13.06,-18.55
b365,1.0,2024-25,230,3936.33,-16.89,-0.43,7.6
b365,1.0,2025-26,219,3740.72,-142.17,-3.8,-3.61
